approach,top_k,text_weight,vector_weight,validation_hit_rate,validation_mrr,test_hit_rate,test_mrr,selected
text_only,5,1.0,0.0,0.8235294117647058,0.6820261437908496,1.0,0.9375,False
hybrid_text_70_vector_30,5,0.7,0.30000000000000004,0.8823529411764706,0.7209150326797386,1.0,0.9444444444444443,False
hybrid_text_50_vector_50,5,0.5,0.5,0.9803921568627451,0.8019607843137253,1.0,0.9583333333333334,False
hybrid_text_30_vector_70,5,0.3,0.7,0.9803921568627451,0.8480392156862745,1.0,0.9583333333333334,False
vector_only,5,0.0,1.0,0.9803921568627451,0.880718954248366,1.0,1.0,True
